date,temperature,humidity,season,time_of_day,num_people,num_children,appliance_count,weekend,energy_kWh
2024-01-06 04:00:00,-2.2,39.7,Winter,Night,7,2,20,1,7.98
2024-01-06 08:00:00,5.3,34.6,Winter,Morning,6,3,20,1,13.35
2024-01-06 12:00:00,13.1,44.3,Winter,Afternoon,8,3,20,1,5.3
2024-01-06 16:00:00,8.7,35.0,Winter,Afternoon,5,1,14,1,4.81
2024-01-06 20:00:00,7.9,41.6,Winter,Evening,4,0,14,1,8.22
2024-01-07 00:00:00,-5.3,39.8,Winter,Night,5,1,18,1,8.06
2024-01-07 04:00:00,0.8,38.9,Winter,Night,5,1,18,1,5.98
2024-01-07 08:00:00,9.7,38.0,Winter,Morning,6,3,14,1,7.56
2024-01-07 12:00:00,6.9,42.2,Winter,Afternoon,5,1,18,1,6.78
2024-01-07 16:00:00,13.1,36.3,Winter,Afternoon,4,1,11,1,2.94
2024-01-07 20:00:00,10.5,32.7,Winter,Evening,5,4,13,1,9.39
2024-01-08 00:00:00,-1.3,42.0,Winter,Night,8,4,18,0,6.37
2024-01-08 04:00:00,0.3,37.6,Winter,Night,2,1,8,0,2.15
2024-01-08 08:00:00,2.3,48.5,Winter,Morning,3,1,9,0,5.22
2024-01-08 12:00:00,8.6,37.6,Winter,Afternoon,4,1,11,0,3.22
2024-01-08 16:00:00,6.5,36.2,Winter,Afternoon,7,2,20,0,6.28
2024-01-08 20:00:00,2.3,50.7,Winter,Evening,4,2,15,0,10.56
2024-01-09 00:00:00,3.5,44.1,Winter,Night,3,0,10,0,2.23
2024-01-09 04:00:00,-2.8,37.9,Winter,Night,8,4,20,0,7.46
2024-01-09 08:00:00,5.8,35.8,Winter,Morning,3,0,13,0,5.33
2024-01-09 12:00:00,10.5,40.7,Winter,Afternoon,5,3,14,0,3.61
2024-01-09 16:00:00,14.2,37.5,Winter,Afternoon,6,1,14,0,2.92
2024-01-09 20:00:00,3.5,44.9,Winter,Evening,4,0,12,0,7.57
2024-01-10 00:00:00,3.0,37.3,Winter,Night,8,4,18,0,4.95
2024-01-10 04:00:00,2.8,44.2,Winter,Night,2,1,10,0,2.29
2024-01-10 08:00:00,9.5,30.0,Winter,Morning,5,0,18,0,6.18
2024-01-10 12:00:00,8.4,38.2,Winter,Afternoon,4,0,16,0,4.36
2024-01-10 16:00:00,6.4,36.5,Winter,Afternoon,6,2,16,0,5.8
2024-01-10 20:00:00,1.8,38.7,Winter,Evening,8,3,18,0,18.0
2024-01-11 00:00:00,6.8,39.0,Winter,Night,5,3,13,0,2.96
2024-01-11 04:00:00,6.1,45.4,Winter,Night,7,4,20,0,4.67
2024-01-11 08:00:00,4.9,34.3,Winter,Morning,5,1,14,0,7.06
2024-01-11 12:00:00,15.1,30.0,Winter,Afternoon,4,0,15,0,2.78
2024-01-11 16:00:00,9.2,33.6,Winter,Afternoon,7,3,18,0,4.91
2024-01-11 20:00:00,7.2,44.5,Winter,Evening,7,2,20,0,12.06
2024-01-12 00:00:00,0.7,33.1,Winter,Night,6,3,14,0,4.29
2024-01-12 04:00:00,2.1,38.0,Winter,Night,1,0,7,0,1.57
2024-01-12 08:00:00,5.9,43.9,Winter,Morning,2,1,9,0,4.06
2024-01-12 12:00:00,9.4,38.4,Winter,Afternoon,4,3,12,0,3.32
2024-01-12 16:00:00,12.7,43.3,Winter,Afternoon,3,2,13,0,2.52
2024-01-12 20:00:00,7.1,30.0,Winter,Evening,7,2,20,0,12.31
2024-01-13 00:00:00,4.6,38.5,Winter,Night,5,3,14,1,4.0
2024-01-13 04:00:00,2.4,47.5,Winter,Night,3,1,10,1,2.9
2024-01-13 08:00:00,2.3,35.2,Winter,Morning,8,3,20,1,16.99
2024-01-13 12:00:00,14.7,42.3,Winter,Afternoon,6,1,15,1,3.98
2024-01-13 16:00:00,9.2,37.6,Winter,Afternoon,7,2,20,1,6.96
2024-01-13 20:00:00,6.1,41.8,Winter,Evening,4,0,11,1,6.78
2024-01-14 00:00:00,2.1,47.2,Winter,Night,6,1,15,1,5.28
2024-01-14 04:00:00,0.3,43.6,Winter,Night,6,4,18,1,5.97
2024-01-14 08:00:00,7.7,36.2,Winter,Morning,6,2,17,1,9.68
2024-01-14 12:00:00,13.5,40.2,Winter,Afternoon,7,4,20,1,5.17
2024-01-14 16:00:00,8.7,35.6,Winter,Afternoon,7,3,19,1,6.84
2024-01-14 20:00:00,9.9,39.9,Winter,Evening,5,1,18,1,9.91
2024-01-15 00:00:00,-1.3,35.6,Winter,Night,8,4,18,0,5.98
2024-01-15 04:00:00,1.2,41.3,Winter,Night,9,4,20,0,5.83
2024-01-15 08:00:00,3.8,46.3,Winter,Morning,9,4,20,0,15.23
2024-01-15 12:00:00,6.9,37.9,Winter,Afternoon,4,0,14,0,4.08
2024-01-15 16:00:00,11.9,43.4,Winter,Afternoon,3,2,10,0,2.24
2024-01-15 20:00:00,14.4,52.7,Winter,Evening,5,1,18,0,6.8
2024-01-16 00:00:00,-1.9,41.9,Winter,Night,1,0,7,0,2.04
2024-01-16 04:00:00,4.8,43.1,Winter,Night,6,2,20,0,4.95
2024-01-16 08:00:00,4.0,42.7,Winter,Morning,7,4,20,0,13.21
2024-01-16 12:00:00,9.3,39.8,Winter,Afternoon,4,0,16,0,3.94
2024-01-16 16:00:00,15.5,40.8,Winter,Afternoon,6,2,20,0,3.82
2024-01-16 20:00:00,1.8,39.7,Winter,Evening,6,4,18,0,19.02
2024-01-17 00:00:00,-3.7,39.3,Winter,Night,5,1,14,0,4.97
2024-01-17 04:00:00,-0.3,33.9,Winter,Night,3,1,13,0,3.7
2024-01-17 08:00:00,7.0,37.7,Winter,Morning,7,2,20,0,10.76
2024-01-17 12:00:00,10.4,42.9,Winter,Afternoon,4,2,12,0,3.07
2024-01-17 16:00:00,10.6,33.6,Winter,Afternoon,4,0,14,0,3.59
2024-01-17 20:00:00,5.1,41.2,Winter,Evening,5,0,19,0,11.42
2024-01-18 00:00:00,3.4,39.9,Winter,Night,3,2,9,0,2.32
2024-01-18 04:00:00,-8.2,40.9,Winter,Night,6,1,14,0,6.78
2024-01-18 08:00:00,2.7,31.4,Winter,Morning,7,3,20,0,14.36
2024-01-18 12:00:00,8.8,45.7,Winter,Afternoon,2,1,10,0,2.41
2024-01-18 16:00:00,10.9,40.8,Winter,Afternoon,8,4,20,0,4.83
2024-01-18 20:00:00,9.5,52.0,Winter,Evening,5,1,13,0,6.73
2024-01-19 00:00:00,-1.5,47.3,Winter,Night,3,2,10,0,3.08
2024-01-19 04:00:00,4.6,46.8,Winter,Night,1,0,7,0,1.5
2024-01-19 08:00:00,3.6,31.7,Winter,Morning,6,3,19,0,12.41
2024-01-19 12:00:00,10.3,30.0,Winter,Afternoon,2,1,9,0,2.24
2024-01-19 16:00:00,11.4,38.3,Winter,Afternoon,3,2,10,0,2.21
2024-01-19 20:00:00,4.4,34.4,Winter,Evening,2,0,10,0,5.68
2024-01-20 00:00:00,3.8,37.0,Winter,Night,2,0,10,1,2.38
2024-01-20 04:00:00,0.2,54.1,Winter,Night,8,4,20,1,7.14
2024-01-20 08:00:00,3.8,46.3,Winter,Morning,8,4,20,1,18.05
2024-01-20 12:00:00,11.9,33.3,Winter,Afternoon,3,1,11,1,2.88
2024-01-20 16:00:00,6.9,30.0,Winter,Afternoon,7,2,20,1,7.44
2024-01-20 20:00:00,5.7,34.7,Winter,Evening,6,4,20,1,18.36
2024-01-21 00:00:00,-4.6,40.1,Winter,Night,7,2,20,1,9.86
2024-01-21 04:00:00,6.7,37.9,Winter,Night,1,0,6,1,1.2
2024-01-21 08:00:00,8.6,32.5,Winter,Morning,3,2,13,1,6.94
2024-01-21 12:00:00,17.7,41.8,Winter,Afternoon,7,3,19,1,4.5
2024-01-21 16:00:00,14.2,33.7,Winter,Afternoon,8,4,20,1,5.09
2024-01-21 20:00:00,1.6,44.3,Winter,Evening,9,4,20,1,24.62
2024-01-22 00:00:00,2.7,41.0,Winter,Night,5,2,14,0,3.74
2024-01-22 04:00:00,-0.8,46.4,Winter,Night,6,1,19,0,5.71
2024-01-22 08:00:00,9.7,37.4,Winter,Morning,8,4,17,0,9.45
2024-01-22 12:00:00,5.6,35.2,Winter,Afternoon,1,0,7,0,2.07
2024-01-22 16:00:00,5.8,36.8,Winter,Afternoon,7,3,18,0,5.78
2024-01-22 20:00:00,0.2,38.5,Winter,Evening,7,2,20,0,17.43
2024-01-23 00:00:00,-0.2,51.9,Winter,Night,1,0,7,0,1.73
2024-01-23 04:00:00,-2.1,42.5,Winter,Night,1,0,7,0,2.04
2024-01-23 08:00:00,1.2,41.2,Winter,Morning,6,4,16,0,13.74
2024-01-23 12:00:00,15.1,41.4,Winter,Afternoon,6,3,14,0,2.81
2024-01-23 16:00:00,11.3,38.1,Winter,Afternoon,3,1,9,0,2.28
2024-01-23 20:00:00,6.2,45.2,Winter,Evening,1,0,7,0,3.1
2024-01-24 00:00:00,5.7,37.9,Winter,Night,3,1,11,0,2.43
2024-01-24 04:00:00,-0.2,39.2,Winter,Night,4,0,14,0,4.08
2024-01-24 08:00:00,2.8,35.8,Winter,Morning,5,2,13,0,8.33
2024-01-24 12:00:00,4.6,49.4,Winter,Afternoon,6,3,16,0,6.24
2024-01-24 16:00:00,6.6,39.2,Winter,Afternoon,3,0,9,0,3.12
2024-01-24 20:00:00,9.5,32.8,Winter,Evening,4,0,14,0,5.46
2024-01-25 00:00:00,-3.1,43.4,Winter,Night,5,0,18,0,6.27
2024-01-25 04:00:00,2.1,37.6,Winter,Night,3,0,10,0,2.67
2024-01-25 08:00:00,8.1,37.1,Winter,Morning,3,1,13,0,5.31
2024-01-25 12:00:00,9.5,40.2,Winter,Afternoon,3,1,9,0,2.24
2024-01-25 16:00:00,11.4,45.7,Winter,Afternoon,1,0,7,0,1.37
2024-01-25 20:00:00,7.0,39.9,Winter,Evening,4,1,15,0,7.88
2024-01-26 00:00:00,2.2,37.3,Winter,Night,5,0,13,0,3.7
2024-01-26 04:00:00,4.6,37.6,Winter,Night,4,1,15,0,3.26
2024-01-26 08:00:00,1.9,44.2,Winter,Morning,5,3,14,0,10.04
2024-01-26 12:00:00,11.6,30.0,Winter,Afternoon,5,2,14,0,3.54
2024-01-26 16:00:00,4.6,34.9,Winter,Afternoon,6,1,17,0,6.78
2024-01-26 20:00:00,-1.2,42.9,Winter,Evening,8,3,20,0,22.83
2024-01-27 00:00:00,1.2,32.6,Winter,Night,4,1,14,1,4.82
2024-01-27 04:00:00,1.4,39.5,Winter,Night,3,1,13,1,4.03
2024-01-27 08:00:00,9.9,36.1,Winter,Morning,7,2,20,1,9.77
2024-01-27 12:00:00,16.1,41.1,Winter,Afternoon,4,3,13,1,2.85
2024-01-27 16:00:00,13.7,36.1,Winter,Afternoon,7,3,20,1,5.13
2024-01-27 20:00:00,7.2,45.3,Winter,Evening,9,4,20,1,17.67
2024-01-28 00:00:00,0.2,41.8,Winter,Night,9,4,19,1,7.87
2024-01-28 04:00:00,-4.4,51.7,Winter,Night,6,4,20,1,9.42
2024-01-28 08:00:00,4.6,33.2,Winter,Morning,4,2,15,1,9.84
2024-01-28 12:00:00,14.8,45.1,Winter,Afternoon,8,3,20,1,5.33
2024-01-28 16:00:00,13.2,35.5,Winter,Afternoon,5,0,19,1,4.99
2024-01-28 20:00:00,1.1,48.5,Winter,Evening,6,1,19,1,16.79
2024-01-29 00:00:00,3.0,46.5,Winter,Night,5,2,18,0,4.1
2024-01-29 04:00:00,2.5,30.0,Winter,Night,8,3,20,0,5.46
2024-01-29 08:00:00,6.0,42.1,Winter,Morning,6,4,20,0,12.02
2024-01-29 12:00:00,8.8,43.8,Winter,Afternoon,6,4,20,0,5.13
2024-01-29 16:00:00,12.1,44.5,Winter,Afternoon,5,4,13,0,3.34
2024-01-29 20:00:00,7.1,33.5,Winter,Evening,7,4,20,0,16.06
2024-01-30 00:00:00,-0.3,44.5,Winter,Night,8,3,18,0,6.06
2024-01-30 04:00:00,3.2,41.5,Winter,Night,7,3,17,0,4.39
2024-01-30 08:00:00,4.4,42.3,Winter,Morning,5,1,18,0,9.33
2024-01-30 12:00:00,3.7,45.4,Winter,Afternoon,5,1,14,0,5.08
2024-01-30 16:00:00,7.2,45.1,Winter,Afternoon,4,3,16,0,4.88
2024-01-30 20:00:00,0.3,38.1,Winter,Evening,5,3,13,0,12.95
2024-01-31 00:00:00,2.1,42.2,Winter,Night,5,1,18,0,4.86
2024-01-31 04:00:00,1.2,41.4,Winter,Night,5,1,13,0,4.03
2024-01-31 08:00:00,3.9,39.1,Winter,Morning,3,1,12,0,6.27
2024-01-31 12:00:00,14.5,36.4,Winter,Afternoon,6,3,16,0,3.66
2024-01-31 16:00:00,8.5,39.9,Winter,Afternoon,5,1,18,0,4.96
2024-01-31 20:00:00,0.7,38.3,Winter,Evening,3,1,12,0,8.82
2024-02-01 00:00:00,0.6,45.7,Winter,Night,5,0,13,0,3.55
2024-02-01 04:00:00,6.0,46.0,Winter,Night,5,4,13,0,2.62
2024-02-01 08:00:00,3.0,36.5,Winter,Morning,5,2,13,0,8.68
2024-02-01 12:00:00,10.3,45.0,Winter,Afternoon,6,2,20,0,4.97
2024-02-01 16:00:00,11.3,34.0,Winter,Afternoon,3,2,10,0,2.27
2024-02-01 20:00:00,6.8,44.0,Winter,Evening,2,0,8,0,3.72
2024-02-02 00:00:00,6.5,46.1,Winter,Night,3,0,9,0,2.0
2024-02-02 04:00:00,-2.3,41.7,Winter,Night,6,1,19,0,6.05
2024-02-02 08:00:00,1.8,36.9,Winter,Morning,8,3,17,0,14.6
2024-02-02 12:00:00,7.1,36.4,Winter,Afternoon,4,1,11,0,3.89
2024-02-02 16:00:00,7.5,41.1,Winter,Afternoon,7,3,18,0,5.43
2024-02-02 20:00:00,8.3,48.8,Winter,Evening,9,4,20,0,15.15
2024-02-03 00:00:00,-1.3,33.4,Winter,Night,6,3,20,1,7.73
2024-02-03 04:00:00,3.9,40.8,Winter,Night,7,4,20,1,5.72
2024-02-03 08:00:00,5.1,39.5,Winter,Morning,4,3,13,1,8.74
2024-02-03 12:00:00,6.4,37.3,Winter,Afternoon,4,1,15,1,5.48
2024-02-03 16:00:00,4.8,39.7,Winter,Afternoon,6,2,18,1,7.18
2024-02-03 20:00:00,0.4,38.7,Winter,Evening,3,0,9,1,8.45
2024-02-04 00:00:00,-0.5,47.9,Winter,Night,6,1,19,1,6.89
2024-02-04 04:00:00,-0.9,48.5,Winter,Night,8,4,20,1,7.56
2024-02-04 08:00:00,9.0,39.2,Winter,Morning,5,0,13,1,5.95
2024-02-04 12:00:00,13.2,36.8,Winter,Afternoon,3,2,13,1,3.2
2024-02-04 16:00:00,5.7,37.3,Winter,Afternoon,7,2,20,1,7.84
2024-02-04 20:00:00,6.2,40.1,Winter,Evening,6,2,16,1,11.6
2024-02-05 00:00:00,6.2,48.9,Winter,Night,3,1,9,0,1.97
2024-02-05 04:00:00,5.9,39.2,Winter,Night,3,0,9,0,1.86
2024-02-05 08:00:00,4.1,36.1,Winter,Morning,6,4,16,0,10.87
2024-02-05 12:00:00,12.1,35.9,Winter,Afternoon,3,0,9,0,2.13
2024-02-05 16:00:00,14.0,41.1,Winter,Afternoon,8,3,20,0,4.27
2024-02-05 20:00:00,0.5,37.8,Winter,Evening,2,1,9,0,6.67
2024-02-06 00:00:00,-1.4,41.7,Winter,Night,9,4,20,0,7.58
2024-02-06 04:00:00,6.3,42.0,Winter,Night,3,0,9,0,1.91
2024-02-06 08:00:00,4.1,37.1,Winter,Morning,3,1,10,0,5.77
2024-02-06 12:00:00,0.4,32.6,Winter,Afternoon,6,2,16,0,7.65
2024-02-06 16:00:00,10.4,33.0,Winter,Afternoon,6,1,15,0,3.84
2024-02-06 20:00:00,8.4,34.7,Winter,Evening,3,0,9,0,4.21
2024-02-07 00:00:00,1.1,40.0,Winter,Night,5,1,13,0,3.62
2024-02-07 04:00:00,2.4,41.0,Winter,Night,7,4,16,0,4.77
2024-02-07 08:00:00,7.8,43.3,Winter,Morning,6,3,20,0,10.7
2024-02-07 12:00:00,8.2,32.9,Winter,Afternoon,6,2,16,0,4.7
2024-02-07 16:00:00,8.1,42.4,Winter,Afternoon,4,0,16,0,3.96
2024-02-07 20:00:00,5.5,38.0,Winter,Evening,7,3,18,0,14.06
2024-02-08 00:00:00,2.4,31.9,Winter,Night,4,3,13,0,3.28
2024-02-08 04:00:00,-0.7,41.8,Winter,Night,6,2,20,0,5.91
2024-02-08 08:00:00,5.3,46.5,Winter,Morning,4,3,13,0,7.7
2024-02-08 12:00:00,6.1,44.1,Winter,Afternoon,9,4,20,0,7.59
2024-02-08 16:00:00,12.5,37.4,Winter,Afternoon,5,0,18,0,4.04
2024-02-08 20:00:00,6.8,45.1,Winter,Evening,8,3,20,0,14.64
2024-02-09 00:00:00,-3.9,43.6,Winter,Night,8,4,20,0,7.62
2024-02-09 04:00:00,0.0,46.4,Winter,Night,3,2,11,0,2.97
2024-02-09 08:00:00,5.3,31.6,Winter,Morning,8,4,20,0,13.69
2024-02-09 12:00:00,6.6,33.3,Winter,Afternoon,6,2,20,0,6.42
2024-02-09 16:00:00,10.6,42.0,Winter,Afternoon,7,3,17,0,4.4
2024-02-09 20:00:00,4.8,47.8,Winter,Evening,5,0,13,0,7.79
2024-02-10 00:00:00,0.9,43.3,Winter,Night,4,2,13,1,4.69
2024-02-10 04:00:00,0.3,38.9,Winter,Night,6,2,20,1,6.84
2024-02-10 08:00:00,-1.0,37.5,Winter,Morning,6,3,19,1,18.38
2024-02-10 12:00:00,3.1,39.0,Winter,Afternoon,3,2,12,1,5.21
2024-02-10 16:00:00,11.8,44.0,Winter,Afternoon,4,1,12,1,3.5
2024-02-10 20:00:00,5.8,38.0,Winter,Evening,3,1,13,1,8.93
2024-02-11 00:00:00,1.9,46.2,Winter,Night,9,4,20,1,7.25
2024-02-11 04:00:00,2.3,44.1,Winter,Night,4,3,13,1,4.43
2024-02-11 08:00:00,5.6,48.4,Winter,Morning,6,1,19,1,10.87
2024-02-11 12:00:00,11.8,39.0,Winter,Afternoon,5,4,13,1,3.64
2024-02-11 16:00:00,10.2,38.2,Winter,Afternoon,7,3,20,1,6.61
2024-02-11 20:00:00,8.1,44.6,Winter,Evening,9,4,20,1,17.97
2024-02-12 00:00:00,-0.1,36.8,Winter,Night,4,3,12,0,3.54
2024-02-12 04:00:00,0.9,39.0,Winter,Night,7,4,16,0,4.91
2024-02-12 08:00:00,5.6,31.4,Winter,Morning,5,0,18,0,7.27
2024-02-12 12:00:00,6.2,33.4,Winter,Afternoon,6,3,16,0,5.44
2024-02-12 16:00:00,7.7,48.8,Winter,Afternoon,7,4,16,0,4.79
2024-02-12 20:00:00,5.5,43.3,Winter,Evening,7,3,20,0,15.36
2024-02-13 00:00:00,0.1,34.6,Winter,Night,4,1,15,0,4.18
2024-02-13 04:00:00,-0.1,47.5,Winter,Night,4,0,15,0,4.04
2024-02-13 08:00:00,0.8,37.7,Winter,Morning,5,0,13,0,8.28
2024-02-13 12:00:00,12.3,41.0,Winter,Afternoon,6,1,20,0,4.96
2024-02-13 16:00:00,11.1,41.3,Winter,Afternoon,7,2,20,0,5.08
2024-02-13 20:00:00,9.9,46.8,Winter,Evening,4,3,16,0,8.41
2024-02-14 00:00:00,3.0,37.9,Winter,Night,7,2,20,0,5.01
2024-02-14 04:00:00,1.3,37.4,Winter,Night,6,2,20,0,5.6
2024-02-14 08:00:00,2.0,30.0,Winter,Morning,7,2,20,0,13.75
2024-02-14 12:00:00,12.9,37.0,Winter,Afternoon,5,1,13,0,2.99
2024-02-14 16:00:00,9.5,42.3,Winter,Afternoon,3,0,9,0,2.53
2024-02-14 20:00:00,5.6,44.1,Winter,Evening,5,2,18,0,12.53
2024-02-15 00:00:00,0.8,47.5,Winter,Night,3,1,11,0,2.86
2024-02-15 04:00:00,0.9,42.7,Winter,Night,5,2,14,0,4.2
2024-02-15 08:00:00,7.1,41.9,Winter,Morning,5,3,17,0,8.03
2024-02-15 12:00:00,7.3,39.6,Winter,Afternoon,3,0,10,0,2.86
2024-02-15 16:00:00,14.7,40.6,Winter,Afternoon,1,0,7,0,1.26
2024-02-15 20:00:00,9.2,34.1,Winter,Evening,8,3,19,0,11.98
2024-02-16 00:00:00,-1.5,34.9,Winter,Night,3,2,12,0,3.38
2024-02-16 04:00:00,-3.4,38.4,Winter,Night,5,0,18,0,6.48
2024-02-16 08:00:00,-1.0,42.9,Winter,Morning,1,0,7,0,3.73
2024-02-16 12:00:00,5.6,33.3,Winter,Afternoon,4,0,12,0,4.23
2024-02-16 16:00:00,11.6,34.9,Winter,Afternoon,3,0,9,0,2.2
2024-02-16 20:00:00,5.9,36.7,Winter,Evening,3,1,10,0,5.66
2024-02-17 00:00:00,2.6,44.6,Winter,Night,5,1,13,1,4.49
2024-02-17 04:00:00,-4.7,46.2,Winter,Night,9,4,20,1,10.08
2024-02-17 08:00:00,3.8,40.7,Winter,Morning,5,0,15,1,9.02
2024-02-17 12:00:00,12.9,39.9,Winter,Afternoon,6,2,20,1,5.06
2024-02-17 16:00:00,9.3,41.1,Winter,Afternoon,8,4,17,1,5.78
2024-02-17 20:00:00,1.2,39.3,Winter,Evening,4,3,13,1,13.9
2024-02-18 00:00:00,0.4,38.7,Winter,Night,2,1,10,1,3.15
2024-02-18 04:00:00,-2.1,49.8,Winter,Night,1,0,7,1,2.53
2024-02-18 08:00:00,6.0,30.0,Winter,Morning,7,4,16,1,11.69
2024-02-18 12:00:00,10.7,34.6,Winter,Afternoon,9,4,20,1,7.02
2024-02-18 16:00:00,11.8,36.9,Winter,Afternoon,3,1,9,1,2.73
2024-02-18 20:00:00,1.3,43.9,Winter,Evening,7,3,20,1,21.64
2024-02-19 00:00:00,-1.2,47.5,Winter,Night,9,4,20,0,7.48
2024-02-19 04:00:00,5.2,49.2,Winter,Night,6,1,15,0,3.44
2024-02-19 08:00:00,0.9,40.8,Winter,Morning,3,0,13,0,7.33
2024-02-19 12:00:00,5.7,39.7,Winter,Afternoon,6,1,20,0,6.28
2024-02-19 16:00:00,10.6,40.1,Winter,Afternoon,9,4,20,0,5.77
2024-02-19 20:00:00,5.9,37.1,Winter,Evening,5,0,13,0,6.94
2024-02-20 00:00:00,-2.0,36.2,Winter,Night,5,1,14,0,5.04
2024-02-20 04:00:00,-0.6,41.2,Winter,Night,3,0,9,0,2.99
2024-02-20 08:00:00,6.6,43.2,Winter,Morning,3,2,10,0,4.6
2024-02-20 12:00:00,10.6,37.1,Winter,Afternoon,4,3,12,0,3.29
2024-02-20 16:00:00,7.1,41.4,Winter,Afternoon,2,0,9,0,2.69
2024-02-20 20:00:00,6.1,30.3,Winter,Evening,7,2,20,0,11.95
2024-02-21 00:00:00,4.1,40.4,Winter,Night,8,3,18,0,4.66
2024-02-21 04:00:00,-0.1,39.5,Winter,Night,1,0,7,0,1.92
2024-02-21 08:00:00,1.8,34.6,Winter,Morning,1,0,7,0,3.44
2024-02-21 12:00:00,6.9,42.7,Winter,Afternoon,7,3,20,0,6.37
2024-02-21 16:00:00,8.0,48.3,Winter,Afternoon,6,1,19,0,5.75
2024-02-21 20:00:00,8.1,44.0,Winter,Evening,6,2,17,0,9.63
2024-02-22 00:00:00,0.3,46.7,Winter,Night,4,3,16,0,4.49
2024-02-22 04:00:00,1.2,44.7,Winter,Night,4,1,15,0,3.88
2024-02-22 08:00:00,2.0,44.1,Winter,Morning,6,2,20,0,12.88
2024-02-22 12:00:00,11.8,30.0,Winter,Afternoon,5,3,13,0,3.34
2024-02-22 16:00:00,7.6,38.6,Winter,Afternoon,6,1,15,0,4.93
2024-02-22 20:00:00,3.5,43.0,Winter,Evening,2,0,10,0,5.75
2024-02-23 00:00:00,2.6,43.4,Winter,Night,4,0,13,0,3.55
2024-02-23 04:00:00,-6.6,49.8,Winter,Night,8,4,20,0,9.13
2024-02-23 08:00:00,5.5,34.7,Winter,Morning,6,1,20,0,10.56
2024-02-23 12:00:00,7.8,42.2,Winter,Afternoon,9,4,20,0,6.85
2024-02-23 16:00:00,9.5,33.3,Winter,Afternoon,8,4,20,0,5.85
2024-02-23 20:00:00,3.9,39.3,Winter,Evening,4,0,14,0,8.71
2024-02-24 00:00:00,7.1,39.1,Winter,Night,4,2,15,1,3.57
2024-02-24 04:00:00,-0.1,45.9,Winter,Night,9,4,20,1,7.86
2024-02-24 08:00:00,10.5,42.1,Winter,Morning,7,3,20,1,11.14
2024-02-24 12:00:00,10.1,39.1,Winter,Afternoon,4,3,16,1,4.86
2024-02-24 16:00:00,6.1,30.0,Winter,Afternoon,3,2,10,1,3.9
2024-02-24 20:00:00,6.0,41.9,Winter,Evening,7,2,20,1,15.87
2024-02-25 00:00:00,-0.1,40.2,Winter,Night,6,3,16,1,5.97
2024-02-25 04:00:00,1.2,48.1,Winter,Night,3,2,11,1,3.51
2024-02-25 08:00:00,2.9,46.4,Winter,Morning,4,3,16,1,13.0
2024-02-25 12:00:00,15.1,32.3,Winter,Afternoon,8,4,20,1,5.29
2024-02-25 16:00:00,12.0,40.8,Winter,Afternoon,4,1,12,1,3.55
